id;tags;category;region;county;address;longitude;latitude;nearby;datetime;light;weather;road_conditions;participants_count;participant_categories;severity;dead_count;injured_count
22754;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, ул Зайцева, 1;150.776944;59.620278;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-28 11:40:00;Светлое время суток;Ясно;Не установлены;2;Все участники;Легкий;0;1
22882;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, пр-кт Карла Маркса, 17;150.796944;59.567778;Жилые дома индивидуальной застройки, Нерегулируемый перекрёсток, Нерегулируемый перекрёсток неравнозначных улиц (дорог), Нерегулируемый пешеходный переход;2015-02-28 18:10:00;В темное время суток, освещение включено;Ясно;Не установлены;3;Все участники;Легкий;0;1
24427;Дорожно-транспортные происшествия;Наезд на пешехода;Магаданская область;Магадан;г Магадан, ул Якутская, 14;150.814167;59.56;Жилые дома индивидуальной застройки, Нерегулируемый пешеходный переход, Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-03-05 11:55:00;Светлое время суток;Ясно;Недостатки зимнего содержания, Отсутствие, плохая различимость горизонтальной разметки проезжей части;2;Все участники, Пешеходы;Тяжёлый;0;1
24647;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;;150.810278;59.569167;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-03-06 04:23:00;В темное время суток, освещение включено;Ясно;Не установлены;3;Все участники;С погибшими;1;1
25731;Дорожно-транспортные происшествия;Наезд на пешехода;Магаданская область;Магадан;г Магадан, пр-кт Карла Маркса, 65;150.815;59.556944;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-03-08 23:20:00;В темное время суток, освещение включено;Снегопад;Не установлены;3;Все участники, Пешеходы;Легкий;0;2
26351;Дорожно-транспортные происшествия;Наезд на пешехода;Магаданская область;Магадан;г Магадан, ул Пролетарская, 44;150.82;59.56;Выезд с прилегающей территории, Остановка общественного транспорта, Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-03-10 14:30:00;Светлое время суток;Ясно;Не установлены;2;Все участники, Пешеходы;Тяжёлый;0;1
28143;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;Магадан, ФАД КОЛЫМА-СНЕЖНАЯ ДОЛИНА, 2км;150.928889;59.632778;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-03-15 08:30:00;Светлое время суток;Ясно;Отсутствие, плохая различимость горизонтальной разметки проезжей части;3;Все участники;С погибшими;1;2
28702;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;Магадан, Р-504 Колыма Якутск - Магадан, 2020км;150.854444;59.595278;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-03-16 19:20:00;В темное время суток, освещение отсутствует;Ясно;Отсутствие, плохая различимость горизонтальной разметки проезжей части;8;Все участники;Тяжёлый;0;6
30265;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, пл Комсомольская, 3;150.798889;59.560278;Нерегулируемый перекрёсток, Нерегулируемый перекрёсток неравнозначных улиц (дорог), Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-03-21 02:30:00;В темное время суток, освещение включено;Ясно;Не установлены;3;Все участники;Легкий;0;1
32056;Дорожно-транспортные происшествия;Съезд с дороги;Магаданская область;Магадан;г Магадан, Р-504 Колыма Якутск - Магадан, 1980км;150.781389;59.911389;Иной объект, Мост, эстакада, путепровод, Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-03-25 23:45:00;В темное время суток, освещение отсутствует;Пасмурно;Не установлены;2;Все участники;С погибшими;1;1
